x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,value,Timestamp
246,193,227,83,468,447,441,445,193,444,202,16,2727.63753419647,75368
246,193,284,83,468,447,441,445,193,444,202,16,3122.0274466220517,76467
500,207,374,418,236,445,173,28,112,329,460,373,3826.959295347233,76512
246,193,215,83,468,447,459,445,193,455,202,16,2874.068528286917,77507
246,193,227,83,468,447,441,464,193,444,202,16,2873.1151989565037,78422
246,193,175,83,468,447,422,445,259,444,202,16,2990.5977574211274,79369
246,193,221,53,468,447,422,445,193,444,202,16,2629.888227764433,80277
246,193,221,53,468,447,467,445,193,444,202,20,2882.4149624344095,81121
247,205,221,53,468,447,422,445,193,444,202,16,2623.315736808926,82272
246,235,200,207,468,471,422,462,193,444,202,16,2867.808271462909,83389
331,183,191,407,163,317,302,3,283,254,138,157,5461.025426768735,83436
246,193,175,159,468,447,473,445,193,444,202,16,3029.9873873207935,84554
247,275,221,53,500,447,422,469,193,444,202,110,3658.0458285073387,85530
204,139,23,16,116,369,335,442,247,156,228,127,4757.638056771602,85579
458,82,241,470,10,444,423,204,172,446,306,53,3405.05933592787,86622
247,205,300,53,468,447,422,445,193,444,202,16,3087.899627828444,87632
246,193,175,15,468,447,422,445,193,444,202,79,2689.142936809555,88823
246,193,224,7,478,447,436,445,193,444,202,16,2815.8029357746113,89985
247,247,221,53,468,447,422,445,193,444,202,16,2827.022403674754,91070
246,193,227,83,468,497,475,445,193,444,202,101,3534.2354886321373,92231
262,96,241,13,188,451,412,439,181,452,195,400,2878.5584780221097,93198
247,205,221,53,468,447,422,445,193,444,202,93,2631.399936039793,94264
246,261,175,7,468,447,422,445,193,448,202,71,2980.7670958359313,95266
250,123,183,122,128,485,451,50,410,454,195,63,3994.7523761235234,96498
166,81,219,71,396,452,442,199,102,446,198,105,3103.439782680831,97524
248,25,172,169,182,449,426,447,20,440,201,364,3044.023169693737,98526
246,196,221,45,468,480,422,452,199,444,202,89,2967.804171388878,99597
